Date,UserID,RecipeID,Event
2021-01-10 10:13:51,1319,2190,view_recipe
2021-01-10 10:14:55,890,217,view_recipe
2021-01-10 10:15:09,1319,2190,short_description
2021-01-10 10:15:19,1319,2190,steps
2021-01-10 10:15:22,890,217,short_description
2021-01-10 10:16:46,890,217,long_description
2021-01-10 10:17:03,1319,2190,view_comments
2021-01-10 10:18:52,890,217,steps
2021-01-10 10:20:38,1122,1934,view_recipe
2021-01-10 10:20:46,1461,4902,view_recipe
2021-01-10 10:21:31,890,217,view_comments
2021-01-10 10:21:43,1461,4902,short_description
2021-01-10 10:21:46,1122,1934,short_description
2021-01-10 10:22:12,1461,4902,long_description
2021-01-10 10:22:16,1122,1934,long_description
2021-01-10 10:24:09,1122,1934,steps
2021-01-10 10:24:24,1461,4902,steps
2021-01-10 10:25:45,1122,1934,view_comments
2021-01-10 10:32:57,1983,2607,view_recipe
2021-01-10 10:33:02,1983,2607,short_description
2021-01-10 10:34:44,1983,2607,long_description
2021-01-10 10:37:06,1983,2607,steps
2021-01-10 10:39:37,1985,3822,view_recipe
2021-01-10 10:39:59,293,4298,view_recipe
2021-01-10 10:41:20,1985,3822,short_description
2021-01-10 10:41:29,293,4298,short_description
2021-01-10 10:42:31,1985,3822,long_description
2021-01-10 10:43:45,1120,4991,view_recipe
2021-01-10 10:43:47,293,4298,long_description
2021-01-10 10:44:13,1120,4991,short_description
2021-01-10 10:44:17,293,4298,steps
2021-01-10 10:45:17,1985,3822,steps
2021-01-10 10:45:28,1120,4991,long_description
2021-01-10 10:46:03,1985,3822,view_comments
2021-01-10 10:47:10,1120,4991,steps
2021-01-10 10:54:12,294,4651,view_recipe
2021-01-10 10:55:30,294,4651,short_description
2021-01-10 10:57:10,294,4651,steps
2021-01-10 10:57:49,294,4651,view_comments
2021-01-10 11:00:55,205,2722,view_recipe
2021-01-10 11:03:47,205,2722,short_description
2021-01-10 11:06:29,205,2722,steps
2021-01-10 11:10:23,1803,3935,view_recipe
2021-01-10 11:10:55,1657,3911,view_recipe
2021-01-10 11:11:07,1628,445,view_recipe
2021-01-10 11:11:28,1803,3935,short_description
2021-01-10 11:11:48,1657,3911,short_description
2021-01-10 11:12:42,1628,445,short_description
2021-01-10 11:12:55,1803,3935,long_description
2021-01-10 11:13:01,1657,3911,long_description
2021-01-10 11:13:05,1803,3935,steps
2021-01-10 11:14:17,714,3362,view_recipe
2021-01-10 11:14:43,162,4445,view_recipe
2021-01-10 11:15:07,162,4445,short_description
2021-01-10 11:15:35,1628,445,steps
2021-01-10 11:15:48,1657,3911,steps
2021-01-10 11:15:49,714,3362,long_description
2021-01-10 11:16:28,162,4445,steps
2021-01-10 11:17:59,714,3362,steps
2021-01-10 11:17:59,986,434,view_recipe
2021-01-10 11:18:01,1704,506,view_recipe
2021-01-10 11:18:43,389,3139,view_recipe
2021-01-10 11:19:50,986,434,short_description
2021-01-10 11:20:18,1704,506,short_description
2021-01-10 11:20:54,1704,506,long_description
2021-01-10 11:21:42,389,3139,short_description
2021-01-10 11:21:45,986,434,long_description
2021-01-10 11:21:58,1704,506,steps
2021-01-10 11:22:10,389,3139,steps
2021-01-10 11:22:15,1704,506,view_comments
2021-01-10 11:22:26,986,434,steps
2021-01-10 11:28:58,945,3011,view_recipe
2021-01-10 11:29:26,945,3011,short_description
2021-01-10 11:30:15,945,3011,steps
2021-01-10 11:34:29,640,1702,view_recipe
2021-01-10 11:35:00,640,1702,short_description
2021-01-10 11:36:33,640,1702,steps
2021-01-10 11:46:25,1020,1514,view_recipe
2021-01-10 11:47:24,1020,1514,short_description
2021-01-10 11:48:14,1020,1514,steps
2021-01-10 11:54:06,272,276,view_recipe
2021-01-10 11:56:44,272,276,short_description
2021-01-10 11:57:17,272,276,steps
2021-01-10 12:00:38,1219,2653,view_recipe
2021-01-10 12:02:31,1219,2653,short_description
2021-01-10 12:03:14,1347,2661,view_recipe
2021-01-10 12:03:44,1219,2653,long_description
2021-01-10 12:04:58,1347,2661,short_description
2021-01-10 12:05:21,1219,2653,steps
2021-01-10 12:06:36,1347,2661,long_description
2021-01-10 12:09:19,686,4629,view_recipe
2021-01-10 12:09:31,1347,2661,steps
2021-01-10 12:10:45,508,169,view_recipe
2021-01-10 12:11:06,1120,1038,view_recipe
2021-01-10 12:11:19,1375,2300,view_recipe
2021-01-10 12:11:32,686,4629,short_description
2021-01-10 12:11:35,1347,2661,view_comments
2021-01-10 12:12:13,1244,1481,view_recipe
2021-01-10 12:12:24,508,169,short_description
2021-01-10 12:12:36,1120,1038,short_description
2021-01-10 12:12:51,569,4906,view_recipe
2021-01-10 12:13:00,1375,2300,short_description
2021-01-10 12:13:09,569,4906,short_description
2021-01-10 12:13:23,1375,2300,steps
2021-01-10 12:13:26,1332,3739,view_recipe
2021-01-10 12:13:29,1244,1481,short_description
2021-01-10 12:13:53,686,4629,long_description
2021-01-10 12:14:00,1120,1038,long_description
2021-01-10 12:14:04,686,4629,steps
2021-01-10 12:15:03,334,2315,view_recipe
2021-01-10 12:15:04,569,4906,long_description
2021-01-10 12:15:18,508,169,steps
2021-01-10 12:15:23,334,2315,short_description
2021-01-10 12:16:04,1332,3739,short_description
2021-01-10 12:16:18,569,4906,steps
2021-01-10 12:16:24,569,4906,view_comments
2021-01-10 12:16:25,1244,1481,long_description
2021-01-10 12:16:25,1120,1038,steps
2021-01-10 12:17:25,334,2315,steps
2021-01-10 12:17:35,334,2315,view_comments
2021-01-10 12:17:39,1332,3739,steps
2021-01-10 12:18:18,1244,1481,steps
2021-01-10 12:19:15,1244,1481,view_comments
2021-01-10 12:19:39,1332,3739,view_comments
2021-01-10 12:22:49,1618,4906,view_recipe
2021-01-10 12:24:12,1300,1672,view_recipe
2021-01-10 12:24:37,1618,4906,short_description
2021-01-10 12:24:54,1300,1672,short_description
2021-01-10 12:25:03,1618,4906,long_description
2021-01-10 12:26:58,1300,1672,steps
2021-01-10 12:27:54,1618,4906,steps
2021-01-10 12:30:01,1044,3106,view_recipe
2021-01-10 12:32:33,1229,3139,view_recipe
2021-01-10 12:32:41,1044,3106,short_description
2021-01-10 12:32:48,1229,3139,short_description
2021-01-10 12:34:09,1044,3106,long_description
2021-01-10 12:35:19,1229,3139,long_description
2021-01-10 12:35:19,1044,3106,steps
2021-01-10 12:36:09,1229,3139,steps
2021-01-10 12:37:25,1044,3106,view_comments
2021-01-10 12:47:29,1834,4057,view_recipe
2021-01-10 12:48:01,706,1323,view_recipe
2021-01-10 12:48:54,706,1323,short_description
2021-01-10 12:49:01,987,4322,view_recipe
2021-01-10 12:50:08,1834,4057,short_description
2021-01-10 12:50:42,987,4322,short_description
2021-01-10 12:50:45,706,1323,steps
2021-01-10 12:51:17,987,4322,steps
2021-01-10 12:52:13,987,4322,view_comments
2021-01-10 12:52:38,1834,4057,long_description
2021-01-10 12:54:39,1364,4913,view_recipe
2021-01-10 12:55:17,1041,2277,view_recipe
2021-01-10 12:55:18,1834,4057,steps
2021-01-10 12:55:24,260,2486,view_recipe
2021-01-10 12:55:31,1041,2277,short_description
2021-01-10 12:56:20,1041,2277,long_description
2021-01-10 12:56:36,1364,4913,short_description
2021-01-10 12:56:47,260,2486,short_description
2021-01-10 12:57:29,260,2486,steps
2021-01-10 12:57:50,1364,4913,steps
2021-01-10 12:58:24,1041,2277,steps
2021-01-10 12:58:38,1364,4913,view_comments
2021-01-10 13:00:15,260,2486,view_comments
2021-01-10 13:01:01,1041,2277,view_comments
2021-01-10 13:07:28,715,3355,view_recipe
2021-01-10 13:07:31,1604,1566,view_recipe
2021-01-10 13:07:46,837,1265,view_recipe
2021-01-10 13:07:48,715,3355,short_description
2021-01-10 13:08:07,715,3355,long_description
2021-01-10 13:08:12,837,1265,short_description
2021-01-10 13:09:56,715,3355,steps
2021-01-10 13:09:57,837,1265,steps
2021-01-10 13:10:08,1604,1566,short_description
2021-01-10 13:10:08,837,1265,view_comments
2021-01-10 13:11:08,1604,1566,steps
2021-01-10 13:11:28,1431,4267,view_recipe
2021-01-10 13:13:43,1912,3829,view_recipe
2021-01-10 13:13:57,1431,4267,short_description
2021-01-10 13:15:14,492,937,view_recipe
2021-01-10 13:16:21,1912,3829,short_description
2021-01-10 13:16:53,899,3375,view_recipe
2021-01-10 13:16:54,667,4410,view_recipe
2021-01-10 13:16:55,1431,4267,steps
2021-01-10 13:16:55,492,937,short_description
2021-01-10 13:18:20,899,3375,short_description
2021-01-10 13:18:33,1912,3829,steps
2021-01-10 13:19:37,492,937,steps
2021-01-10 13:19:52,667,4410,short_description
2021-01-10 13:20:09,667,4410,steps
2021-01-10 13:21:17,899,3375,long_description
2021-01-10 13:21:54,492,937,view_comments
2021-01-10 13:22:54,899,3375,steps
2021-01-10 13:26:19,449,3905,view_recipe
2021-01-10 13:26:56,1445,4327,view_recipe
2021-01-10 13:26:56,449,3905,short_description
2021-01-10 13:27:32,30,4639,view_recipe
2021-01-10 13:28:54,449,3905,long_description
2021-01-10 13:28:57,30,4639,steps
2021-01-10 13:29:10,449,3905,steps
2021-01-10 13:29:31,1445,4327,short_description
2021-01-10 13:30:06,1445,4327,long_description
2021-01-10 13:30:22,1445,4327,steps
2021-01-10 13:31:12,61,3094,view_recipe
2021-01-10 13:31:43,449,3905,view_comments
2021-01-10 13:31:53,61,3094,short_description
2021-01-10 13:33:09,61,3094,steps
2021-01-10 13:34:13,61,3094,view_comments
