博主,id,时间,来源,收藏,转发,评论,点赞,艾特,标签,内容
广西网络广播电视台GXNTV,5474560716,04月14日 22:59,微博 weibo.com,,,,,,-,【新闻1+1丨日本核废水入海，“核”试吗？合适吗？】13日，日本政府正式决定将福岛核废水排海。此举不仅引发日本国民的不满和质疑，中国、韩国等周边国家也都纷纷表示反对：这种做法极其不负责任，将严重损害国际公共健康安全和周边国家人民切身利益。日本为什么这么做？由此带来的影响是什么？核废水入海，真能“一倒了之”吗？ 日本核废水入海，“核”试吗？合适吗？O新闻1+1丨日本核废水入海，“核”试吗？合适吗？ 收起全文d
小秦一直很努力,6373579090,04月14日 22:59,小米浏览器,,,,,,-,"我分享了【史无前例！一图看懂日本核废水排海危害】, 快来看吧！ | O史无前例！一图看懂日本核废水排海危害 ​"
峰放送,1655897880,04月14日 22:59,头条新闻工作室超话,,,1,3,,#流浪地球#感动了，要中国帮日本用#更大的罩子#处理核废水】 #乒乓外交五十年# 后，有人想试试娱乐外交？#任豪这是在干什么##任豪回应#,头条新闻工作室 【任豪可能被 L一騳千囍的微博视频 ​​​
我要飞1115248563,1115248563,04月14日 09:50,微博视频号,,,,,,#V光计划#,【逸语道破：核废水入海危及全球，还有人给日本政府做“文宣”？】日本政府想省事，东电想省钱，但即便日本政府对国际原子能机构影响巨大，他们也根本没有为日本政府开通行证。我们国内的部分自媒体哪里来的自信给日本政府“开绿灯”？说日本核废水安全的“公关稿”请不要再发了。 L沈逸的微博视频 收起全文d
荒火予星河,6619272825,04月14日 17:19,微博视频号,,,,,,#赵立坚说请日本官员先喝核废水#】#日本副首相称喝处理核废水没事#,【，赵立坚：那请他喝了再说！ L央视新闻的微博视频 ​
xx天天都有好运气,6037287951,04月14日 18:54,小米CC9,,,,,,-,抱歉，此微博已被作者删除。查看帮助：O网页链接
大幂幂是我的梦中情人,6451568702,04月14日 22:59,荣耀X10 5G,,,,,,#王志文力挺任豪#,核废水这件事，中国要做的就是让日本这个脑残的国家把这个想法给吞回去，还帮忙研究，咋的，谁脑残谁有理啊，真绝了，日本这么有想法，你去当日本人好了，中国人智商太高，配不得你 ​
想养狗的花痴,6452855618,04月14日 22:59,微博 HTML5 版,,,,,,-,创造营的二鬼子粉丝，我看是核废水的第一波受众，还是主动要去喝的 ​
o红烧大堡礁o,2607643425,04月14日 16:45,新版微博 weibo.com,,,,,,-,印度杀疯了！干的太漂亮！ ​
远山有Q,3742329443,04月14日 22:59,iPhone客户端,,,,,,#任豪回应#,日本的核废水莫不是倒进了这位小哥的脑子里，明星关注国际社会问题是好事，但是拜托带上脑子再发言吧。还有更大的罩子是什么鬼？？ ​
暴躁敦敦,7358320183,04月14日 16:24,微博视频号,,,,,,#赵立坚说太平洋不是日本的下水道#,【】今天，外交部发言人赵立坚强调：“海洋不是日本的垃圾桶，太平洋也不是日本的下水道！日方处理核废水，不应让全世界买单。”至于日本个别官员称这些水喝了也没事，请他喝了再说。（总台央视记者申杨 张熙 杨毅） L环球资讯的微博视频 ​
·七号鱼物语·,7535078032,04月14日 18:49,iPhone客户端,,,,,,-,现在脱粉实时，一半是任豪粉丝正在脱粉，另一半是庆幸自己脱粉的早…… ​
瑞雪予春景,5896473647,04月14日 22:59,荣耀V20 4800万3D相机,,,,,,#王志文力挺任豪#,一个个没有白左的命，却得了白左的病。塞罕坝植树时没你，治沙时没你，哪怕捐点钱给蚂蚁森林也可以啊，偏偏鬼子排核废水时高喊“保护环境，人人有责”。爱国卫生七个专项行动做好吧，巴黎圣母院被烧了觉得自己就有做活圣母的资格是吧？ ​
东海菇凉,3608114130,04月14日 22:59,微博 weibo.com,,,,,,#如何看待日本福岛核废水排海#    方才杀人的是魔宫#杨幂英伦侦探风大片#,右护法千羽，样貌阴柔，一双桃花眼似笑非笑，让人辨不出他到底是男是女。 ​
夏语冰7,6427340027,04月14日 17:16,iPhone 12 Pro Max,,,,,,-,夭寿了，跟日本比印度都能找到环保的道德制高点了，鬼子这套操作保守估计被鞭尸二百年 ​
陶柯98771,6558291283,04月13日 19:47,微博视频号,,,2,,,#日本为何执意排核污入海#】4月13日，日本政府经阁僚会议决定将福岛第一核电站核污水排入大海。一直以来，日本官员宣称，核污水入海是唯一解决方案，事实上，日本政府和民间组织曾考虑过数项方案。最终，日本选择了“最简单粗暴”的方案处理核污水。在国内外反对声中，日本政府为何“一意孤行”在此时处理核污水？#洞见计划#,【 L世面的微博视频 收起全文d
努力奋斗快去学习,5992221009,04月14日 22:59,iPad客户端,,,,1,,#赵立坚说请日本官员先喝核废水#,！！好东西留给你们自己 ​
不会游泳的鱼tzt,7258932028,04月13日 12:04,盘子Android,,,,,,#日本政府正式决定福岛核废水排海#。对此，中国和韩国政府表示反对，但#美国支持日本福岛污水入海决定#,由于已经将核废水进行了科学过滤，认为不会对环境造成污染， 。同时，中国网友也展开了激烈讨论，对此，您怎么看？ 日本将处理过的核废水排海，您认为对还是不对？ ​
相信明天的世界会更好,6381237100,04月14日 21:02,微博视频号,,,,,,#又又切克闹#1丨史上最强“高仿号”！伪装成记者被白宫“翻牌”了】明星高仿骗赞什么的都弱爆了，美国一名网友伪装成记者，成功四次向白宫新闻发言人提问还被“翻牌”了？！真·白宫记者又又为你揭秘20号我还会到白宫值班，大家有什么想问白宫的问题可以留言给我哦~另外，新节目正式上线啦，大家多多期待哦 #V光计划#,【 L凤凰王又又的微博视频 收起全文d
疯水侠,2826512442,04月14日 22:59,iPhone客户端,,,,1,,#日本核废水入海对中国有何影响#,明日2021-04-15，癸巳日财神位：正南方与属猴六合，与属鸡强半三合，与属牛弱半三合，与属猴属虎相刑，与属虎相害，与属猪相冲，与属猴相破 ​
霖儿athena,2546966304,04月13日 08:42,微博视频号,,,,,,#日本核废水排海后海鲜能放心吃吗#？】4月13日，#日本政府正式决定福岛核废水排海#,【真这么干了！。当核废水顺着洋流走向全球，全世界渔业都会受到影响。虽然很多人认为洋流走向，中国海域受的影响很小，但是要知道，环太平洋是我国远洋渔船前往的主要渔场，最近五六年我国远洋渔获总量都维持在200万吨左右，几乎三分之二都是在环太平洋捕捞的。可见，整个太平洋的安全，与我国渔业息息相关。”那么，日本核废水排海后海鲜能放心吃吗？↓↓O日本正式决定：福岛核废水将排向大海 海鲜还能吃吗？ L中国三农发布的微博视频 收起全文d
蜉蝣命薄,3137642511,04月14日 20:47,微博视频号,,,,,,#多地渔民捞到境外间谍装置#】不久前，江苏盐城一位渔民捕鱼作业时，捕捞到一个不明装置。经鉴定，这是境外国家投放的窃密装置，性能先进，功能强大。2016年至今，江苏、浙江、海南等沿海地区捞获了一批境外装置！有些国家把深水探测器扔到我们家门口，这种小偷的窥视行为绝对不能允许！#国家安全教育日#,【 L央视新闻的微博视频 收起全文d
一位不知名的英俊网友,2182080671,04月14日 22:59,HUAWEI P10 Plus,,,,,@R1SE-任豪@王志文Kane,#美国禁止日本食品进入#,老双标了，全世界人民都懂，还有任豪和王志文这两只狗应该滚回他们祖国日本去喝核废水！@R1SE-任豪 @王志文Kane ​
天蝎座的seven,2729374951,04月14日 17:19,微博视频号,,,,,,#赵立坚说请日本官员先喝核废水#】#日本副首相称喝处理核废水没事#,【，赵立坚：那请他喝了再说！ L央视新闻的微博视频 ​
9Uuli,5514052788,04月14日 00:14,OPPO A32,,,,,,-,真正的童话故事，不是王子遇见了公主从此过上了幸福的生活，而是一个平庸的我，遇见了一个平庸的你，我们愿意放下幻想，放弃标准，做一对相互依偎的狗。因为此刻，我们只愿相互依偎，彼此忠诚。 ​
I-love-panda,2578181517,04月14日 22:59,HUAWEI P40 5G,,,,,,#王志文力挺任豪#,搞清楚问题没有，日本有能力自己解决问题，但是他们不想花钱解决问题。既然提到世界了那为啥只要求中国干啥呢。外务省钱不能白花啊，赶紧接过去喝核废水，毕竟喝了也检测不出来有问题，免得你们天天演怪累的。 ​
我爱吃苹果和你们,2885226427,04月14日 09:50,微博视频号,,,,,,#V光计划#,【逸语道破：核废水入海危及全球，还有人给日本政府做“文宣”？】日本政府想省事，东电想省钱，但即便日本政府对国际原子能机构影响巨大，他们也根本没有为日本政府开通行证。我们国内的部分自媒体哪里来的自信给日本政府“开绿灯”？说日本核废水安全的“公关稿”请不要再发了。 L沈逸的微博视频 收起全文d
Amaz1ngV,7013711013,04月14日 22:59,nova 5i Pro,,,,,,#更大的罩子#,日本核废水处理还得看我任豪太郎 ​
我很要得,6330893444,04月14日 21:43,OPPO A9,,,,,,-,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：http://t.cn/RfdBWwP ​
奇迹桃汁软糖,6059089083,04月14日 18:58,微博国际版,,,,,,-,任豪回应 真的疯了吧 ​
把花揉碎砸你脸,5892240329,04月14日 18:54,荣耀X10 5G,,,,,,-,抱歉，此微博已被作者删除。查看帮助：O网页链接
fcscx吖,6355689105,04月14日 21:56,iPhone X,,,,,,-,保护环境人人有责晚安 ​
English杠,7385356675,04月14日 22:59,OPPO R9,,,,1,,#任豪回应##王志文力挺任豪##更大的罩子##赵立坚说太平洋不是日本的下水道##日本核废水入海对中国有何影响##赵立坚说请日本官员先喝核废水##文在寅欲起诉日本核污水入海#, 这么多热搜？！这是在蹭国际新闻的热度吗？这两张图笑死我了 ​
感谢有个林夕8,3844589308,04月14日 22:59,VVebo,,,,2,,#日本政府正式决定福岛核废水排海#, 日本人表面如菊，内心如刀。狭小的地理环境促成了这一挣扎的民族性格。参考美国与日本的关系再结合菊与刀中本尼迪克特对日本民族性格的解剖，可以得出一个结论，就是日本这个国家必须给他打的服服的，让他彻底认识到中日实力差距，这样他才能忠。 ​
生在种花家的老张,1929617365,04月14日 22:59,哔哩哔哩,,,1,,@日本国驻华大使馆,#哔哩哔哩动画#,@日本国驻华大使馆   敢不敢直播“麻痹太郎”、“三陪小三”喝核废水？？赵立坚就核废水排海三问日本：喝了再说吧 O赵立坚就核废水排海三问日本：喝了再说吧 ​
白开水就好333,6078951875,04月14日 17:19,微博视频号,,,,,,#赵立坚说请日本官员先喝核废水#】#日本副首相称喝处理核废水没事#,【，赵立坚：那请他喝了再说！ L央视新闻的微博视频 ​
用户7514311119,7514311119,04月14日 22:59,OPPO Reno5 K 5G,,,,,,#赵立坚说请日本官员先喝核废水#,喝了再说吧 ​
陈小天xt,6033138409,04月14日 22:59,HUAWEI P30 Pro,,,,4,,#赵立坚说请日本官员先喝核废水#,扇贝单词，爱了！ ​
长乐宫扛把子,3799798868,04月13日 19:25,微博 weibo.com,,,,,,#多方表态反对日本核废水入海#】日本政府正式决定向海洋排放福岛第一核电站核废水。绿色和平组织核专家提醒，日核废水所含碳14在数千年内都存在危险，并可能造成基因损害。核废水处置问题事关国际海洋环境、食品安全和人类健康，各方严重关切↓↓#专家提醒日核废水可能造成基因损害#,【反对一倒了之！ ​
WaterVapor,2915229350,04月14日 22:17,vivo AI智慧拍照X21i,,,,,,#王志文力挺任豪#,老天啊 为什么没有个巨大的罩子罩住这些娱乐圈的智障 然后打包一起送去日本治理核废水 就你们有大局观 无语 ​
昭羽昭羽,5323765774,04月14日 16:45,OPPO R9,,,,,,-,印度杀疯了！干的太漂亮！ ​
罗云熙是透哥哥呀,6333571933,04月14日 22:59,vivo Y73s 5G,,,,1,,#日本副首相称喝处理核废水没事#,？？？请他喝了再说 ​
Macronnva,5476080034,04月14日 22:58,vivo智能手机,,,,,,-,美国和日本这种国家是不是根本就没有人类命运共同体的概念 我感觉日本把核污染的废水倒进太平洋之后地球就毁了 我甚至感觉现在学习都没什么用了，反正的以后的世界是与我无关了 ​
乐呵2222222,5925442404,04月14日 22:58,华为手机 畅享玩不停,,,,,,#日本大叔讲核废水排海危害#,老大叔你在日不明的地方活的明白啊！ 2广州·京溪 ​
蹦擦拉卡拉,5873856006,04月14日 22:58,iPad mini,,,,,,#王志文力挺任豪#,所以日本核废水问题到底怎么办？眼睁睁看着日本往太平洋倒废水，然后把全球糟蹋了吗？？怎么才能让日本解决啊？？？？？？？？有人告诉我吗 ​
畅言310,6518623369,04月14日 22:58,vivo S1 Pro 升降自拍,,,,,,#脱粉#,“Rapper”的理想主义？可是你这次真的是出界了——没有科学意识+国家观念你应该痛定思痛，去当个科学家，核废水的处理就靠你了 ​
屋外老二_,5573840952,04月14日 22:58,微博 weibo.com,,1,,5,,#日本核废水入海对中国有何影响# #日本政府正式决定福岛核废水排海#,笑死，在让人失望这件事上日本政府从没让人失望。 ​
LadyGaga中文论坛,7256784674,04月14日 22:58,iPhone 8,,1,2,9,,#ladygaga偷喝核废水不幸发生变异#, ​
王俊凯要健康平安喜乐k,5652907366,04月14日 17:19,微博视频号,,,,,,#赵立坚说请日本官员先喝核废水#】#日本副首相称喝处理核废水没事#,【，赵立坚：那请他喝了再说！ L央视新闻的微博视频 ​
木小语o_oV,2557054903,04月14日 09:50,微博视频号,,,,,,#V光计划#,【逸语道破：核废水入海危及全球，还有人给日本政府做“文宣”？】日本政府想省事，东电想省钱，但即便日本政府对国际原子能机构影响巨大，他们也根本没有为日本政府开通行证。我们国内的部分自媒体哪里来的自信给日本政府“开绿灯”？说日本核废水安全的“公关稿”请不要再发了。 L沈逸的微博视频 收起全文d
平平无奇的宝妈爱追剧,7427990799,04月14日 22:58,荣耀8X,,,,,,-,最近日本排放核废水的事闹得人心惶惶，真不知道这些人脑子是不是被核辐射搞坏掉了，还是真存了些不可告人的坏心思呢！多少人的生命健康问题啊，日本赶紧从世界地图上消失吧。over！ ​
菜鸟军虫,1393202693,04月14日 22:58,菜鸟军虫超话,,1,,,@央视网视频,#日本核废水入海对中国有何影响#,菜鸟军虫关注。【专家：美国只要日本“听话”对抗中国 不在意它排放核污水】对于日本政府将福岛核污水排入大海的决定，美国国务卿布林肯发文以示支持，称“我们感谢日方在决定处理核电站废水问题上显示出来的透明度”。专家表示，美方表态既天真又无知，体现出实用主义哲学为上的外交选择。 @央视网视频 L菜鸟军虫的微博视频 收起全文d
氵殳有ID,5523520634,04月14日 22:58,荣耀 9X PRO,,,,,,#任豪回应#,孝死了孝死了下届日本首相选举没任豪我第一个不服和给你洗白的狗粉们快去舔你日本爹爹真会道德绑架 那就快去喝核废水吧 ​
福冈星矢,6643954537,04月14日 17:19,微博视频号,,,,,,#赵立坚说请日本官员先喝核废水#】#日本副首相称喝处理核废水没事#,【，赵立坚：那请他喝了再说！ L央视新闻的微博视频 ​
圆圆山山快出来,7006314056,04月14日 22:01,微博 weibo.com,,,,,,#王志文力挺任豪#,前营人王志文力挺任豪，还表示是出于好意的话语，之后又删掉了微博 ​
伊吹可以把我吹秃,5945753147,04月14日 22:58,Android,,,,2,,#任豪回应#,我直接笑傻快去和日本官员一起喝核废水吧我还可以给你捐18斤菠萝打汁喝 ​
橙茶Macchiato,2230057800,04月14日 18:49,荣耀V10 我AI的快,,,,,,-,现在脱粉实时，一半是任豪粉丝正在脱粉，另一半是庆幸自己脱粉的早…… ​
西部牛人兰博Dee,2092512240,04月14日 22:58,nova6 5G自拍大不一样,,,,,,-,朋友转过来两个链接，其中一篇文章说，希望自己这种“爱国者”能多关心自己家和工作的事，意思是少管日本向海洋排核废水的闲事。另外一篇文章大骂我们这些人“不要脸”，理由也是“身边人事不关心，却管日本核污染”。哈哈，中国林子大，鸟的种类自然多。但我就纳闷了，美日那么关心新疆的事，那可真是跟他们八竿子打不着的纯粹中国的事，咋就是正常的；而日本向太平洋排核废水，它们最终可能流到中国近海，中国人与这件事的关联可比美日与新疆事务的关联大了不知多少倍，老胡等拍案怒斥日本政府不负责任，咋就不正常了呢？ 这种声音反映了有一部分国人心中有着根深蒂固的对“西洋”乃至“东洋”的奴性，这是我们民族一度积贫积弱并且受到外部奴役欺凌坐下的病根。要消除它得慢慢养，太急了没用。 在精神上站起来，对外想怎么表达就怎么表达，别什么都对照西方的样子，他们的价值观首先是他们利益的产物。我们捍卫自己的利益同样天经地义，不丢人。日本人往海洋里排核废水，这种缺德事就是要骂，能阻止要阻止，阻止不了也要让他们欠下一笔道德帐。看看他们就这件事是怎样请示遥远的美国的，又是如何对待身边的中韩俄的，还有中国人要给这样干的日本洗地吗？太贱了吧 收起全文d
嘉_Jarnival,6766365299,04月14日 22:58,Redmi K40 Pro,,,,,,#赵立坚说请日本官员先喝核废水#,世界上居然有这么魔幻的事情 一个国家做这么不负责的事儿？日本官员脑子里是废水吗？是想和全人类一起灭绝吗？ ​
RUI柚子和橙子,6531687395,04月14日 22:58,Android,,,,,,#赵立坚说请日本官员先喝核废水#, ​
顾思君,1944486167,04月14日 18:54,微博国际版,,,,,,-,抱歉，此微博已被作者删除。查看帮助：O网页链接
小徐今天更好了吗_,3926509057,04月14日 22:58,nova7你在焦点在,,,1,,@R1SE-任豪@王志文Kane,#任豪回应##日本大叔讲核废水排海危害#,@R1SE-任豪 @王志文Kane 来，给大叔讲讲你们的计划 ​
韭黄-韩潮,6164845823,04月14日 22:58,Samsung Z Fold2 5G,,,4,3,,#赵立坚说请日本官员先喝核废水#,日本官员应该多喝核能废水，多吃核能海鲜刺身，多泡核能温泉。争取人人都是哥斯拉，到时候能吹一波奥特曼了 ​
小段段段段段很方呐,7462903476,04月14日 22:58,任豪超话,,,4,4,,-,任豪我真是被任豪粉丝气笑了，果然饭随正主，都是喝了核污水的人吧，要不然就是核废水排进脑子里了，洗地洗你妈呢洗，你们快变成罩子帮日本清除核废水吧，中国真的不需要你们这种人才，删我评论又怎样，反正正主迟早糊，跟个跳蚤一样上蹦下跳让人看笑话，删我评论我再发，欢迎随时过来对线哦，绝对不怂呢 收起全文d
襶鈴鐺的貓,2782275714,04月14日 22:58,iPhone客户端,,,1,4,,#任豪回应#,果然如前几天网友分析的，日本核废水要处理需要花很多钱，但日本又不想出这个钱，怎么办呢？发一个惊恐世界的声明，讹上其他国家的钱一起帮它们处理！没想到这么快就有鱼上钩了，不管这位明星是真善良还是精日，大家别上当，也别惯着它们！ ​
一颗晋果果,1585337841,04月14日 22:58,iPhone 12,,,,1,,-,现流没编好 报告数字没上我居然在担心核废水 ​
xl_二十颗蓝莓,6973813263,04月14日 17:19,微博视频号,,,,,,#赵立坚说请日本官员先喝核废水#】#日本副首相称喝处理核废水没事#,【，赵立坚：那请他喝了再说！ L央视新闻的微博视频 ​
今年就叫桃花,5326077354,04月14日 22:01,微博 weibo.com,,,,,,#王志文力挺任豪#,前营人王志文力挺任豪，还表示是出于好意的话语，之后又删掉了微博 ​
风铃草丷,2652212922,04月14日 22:58,iPhone客户端,,,,,,#任豪#, 怕是有什么脑瘫，建议先送去日本喝一口上头的核废水 ​
小蒹葭日记薄,7191005719,04月14日 17:19,微博视频号,,,,,,#赵立坚说请日本官员先喝核废水#】#日本副首相称喝处理核废水没事#,【，赵立坚：那请他喝了再说！ L央视新闻的微博视频 ​
希望新的一年开开心心,1958959281,04月14日 18:45,iPhone客户端,,,,,,#央行工作论文称应全面放开和鼓励生育#,【央行工作论文：要认识到教育和科技进步难以弥补人口的下降 应全面放开和鼓励生育】央行工作论文提出，我国要认清人口形势已经改变，要认识到人口红利当时用得舒服，事后是需要偿还的负债；要认识到人口惯性是跨代际的巨大力量，其反作用力将导致人口反方向变化；要认识到教育和科技进步难以弥补人口的下降。为此，应全面放开和鼓励生育，切实解决妇女在怀孕、生产、入托、入学中的困难，综合施策，久久为功，努力实现 2035 年远景规划和百年奋斗目标。O工作论文 | 关于我国人口转型的认识和应对之策 收起全文d
峰恋娟20160222,6457450064,04月14日 22:58,互粉互赞超话,,,,,,#三月三# 轩辕生。你们的三月三是怎么过的呢？今天任豪因为发文日本福岛核废水排放事件而引发争议后虽然#任豪回应# 说他本意是呼吁大家关爱关注海洋环境，可还是大量粉丝不买账纷纷#脱粉#,互粉互赞二月二龙抬头， ，所以这事你们怎么看？L黑夜守望者2015的微博视频 ​
·顶流预备计划·,6294366111,04月14日 22:58,AI红v养成计划超话,,,,1,,#赵立坚说请日本官员先喝核废水   #,外交官yyds！就是！你倒是喝了再说！官员说出这句话的时候也不知道他哪来的勇气 ​
Fuji二圈,2446411960,04月14日 16:24,微博视频号,,,,,,#赵立坚说太平洋不是日本的下水道#,【】今天，外交部发言人赵立坚强调：“海洋不是日本的垃圾桶，太平洋也不是日本的下水道！日方处理核废水，不应让全世界买单。”至于日本个别官员称这些水喝了也没事，请他喝了再说。（总台央视记者申杨 张熙 杨毅） L环球资讯的微博视频 ​
w短手的企鹅w,3834727358,04月14日 22:58,iPhone客户端,,,,,,-,笑了，是最近基金股票狂跌导致他气的大脑不清醒吗？这种话都能说出口，了解过怎么解决核废水吗？计算过需要多少人力物力财力吗？要是真的那么容易还需要直接排放吗？ ​
铁子哥他女友,5862212384,04月14日 22:58,Android,,,,1,,#王志文力挺任豪#,建议有病治病，实在不行去喝核废水吧 ​
用户7583435150,7583435150,04月14日 22:58,iPhone客户端,,,,,@Weocia,#反对一倒了之##日本核废水#,[cp]坚决 1、即将发售的匹克闪现2-「地球日」专属环保配色、匹克态极3.0GT「自然泡泡」配色，在中底科技上使用的超临界物理发泡（闪现2是前掌P-soon科技、3.0GT是超临界态极）科技，在发泡过程中均没有使用任何化学试剂，注入的氮气无毒无污染！能够有效降低排放！2、去年12月匹克发布的“源型”3D打印概念鞋，使用可重复利用热塑性聚氨酯弹性体，有效降低回收时的排放和耗能，实现了全鞋100%回收利用！我们会努力践行“PEAK·BETTER·WORLD”（匹克·更好·世界）理念，实现绿色可持续发展！闪现2的「地球日」配色图片我已经征得摄影师@Weocia 同意使用！[/cp] 2重庆·重庆城市职业学院 收起全文d
滚去背书玛卡巴卡,6576247302,04月14日 22:58,荣耀 9X,,,,1,,#任豪这是在干什么#,不是吧不是吧？不会真的有人脑子里全都是核废水吧？ ​
喜欢朱一龙是日常,6748526819,04月14日 17:19,微博视频号,,,,,,#赵立坚说请日本官员先喝核废水#】#日本副首相称喝处理核废水没事#,【，赵立坚：那请他喝了再说！ L央视新闻的微博视频 ​
峰恋娟20160222,6457450064,04月14日 22:57,互粉交友超话,,,,,,#三月三# 轩辕生。你们的三月三是怎么过的呢？今天任豪因为发文日本福岛核废水排放事件而引发争议后虽然#任豪回应# 说他本意是呼吁大家关爱关注海洋环境，可还是大量粉丝不买账纷纷#脱粉#,互粉交友二月二龙抬头， ，所以这事你们怎么看？L黑夜守望者2015的微博视频 ​
棹歌轻举酌流霞,2396175387,04月14日 22:36,微博 weibo.com,,,,,,#V光计划#, IAEA对福岛核电站事故出过220页的报告，天野之弥，当时IAEA的头头，写的前言里，红线框出来的那段，翻译见图3：福岛事故发生的原因是日本坚信核电的安全性，发生大规模事故是不可能的，事故发生时，日本木准备好。顺着这个路子，现在日本突然准备好知道怎么处理妥废水并安全排放了？谁敢信？ ​
