博主,id,时间,来源,收藏,转发,评论,点赞,艾特,标签,内容
kofismylife,1797461485,04月10日 12:43,小米10,,,,,,-,日本假疫苗、森永毒奶粉、蓝印毒奶粉、三笠毒大米、地沟油、水俣病、核泄漏、RAA、三菱造假、东芝造假、神钢造假、东丽造假、高田造假、西铁城造假、旭化成造假、椿中岛造假、神户牛肉造假、日产造假、小林化工造假。日本固然是发达国家，但绝对不是什么神国。最近一些年也更加费拉了。再加个倒核废水进太平洋，更加洗不干净了。 收起全文d
爱的划尔兹多甜,5593096876,04月13日 22:59,小米9 SE布朗熊限量版,,,,,,-,第一张正规专辑就随手找个长得像魔人啾啾的东西作封面也就罢了，在这睡觉的点一想起我的宝们出道五年归来仍挤上下铺，我就想抓住李🈵的嘴倒灌18公斤核废水进去🤗 🤗 ​
新浪河北,2332992900,04月13日 22:59,iPhone客户端,,2,1,2,,#福岛核废水57天可废掉半个太平洋#】#日本核废水入海危害有多大#,【研究机构计算结果显示，？一家来自德国的研究机构计算结果显示，从排放日起，57天内放射性物质就将扩散至太平洋大半区域，3年后美国和加拿大就将遭核污染影响。同时，核废水对海洋环境、渔业资源、食品安全和人类健康将产生重大影响。 L环球资讯的微博视频 收起全文d
真情岁月S,5013637729,04月13日 16:33,微博视频号,,,,,,#赵立坚说日本不能将福岛核废水一倒了之#】今天的外交部例行记者会上，赵立坚答记者问时表示：“福岛第一核电站发生了最高等级的核事故，其产生的废水同正常运行的核电站废水完全是两回事，否则这些年日方也没必要用罐子把这些水严密封装起来。”同时，#赵立坚向日媒列举各方对核废水入海意见#,【并强调：对于这些权威机构和专家的意见，日方应予以诚实回应，而不能充耳不闻，更不能罔顾国际公共利益，将福岛核废水往海里一倒了之。（总台央视记者申杨 张熙）L央视新闻的微博视频 收起全文d
-野原几之助,7012785984,04月13日 22:59,iPhone客户端,,,,,,-,建议临海国家共同出资给日本筑个大坝，反正是个岛国，花点钱造福全人类，核废水自己消化掉呗 ​
分享欲专用微博,1954266161,04月13日 22:59,HUAWEI Mate 9,,,,,,#日本称处理福岛核污水不能推迟##日本政府正式决定福岛核废水排海##日本核废水可致癌致畸致突变##日本政府要求2年后能开始核废水排海#, 毁灭吧 服了 ​
吴宇恒你啥也吃不了,7390739949,04月13日 22:59,哼哼的Android,,,,,,#赵立坚说日本不能将福岛核废水一倒了之#,有没有想过海洋生态环境？对于束手无策的海洋生物你可曾有过意思怜悯？对于无辜受牵连的人民你能负责？你凭什么排放污水啊？我真乌鸡鲅鱼服服气气垃圾岛国赶紧灭了好吗 ​
咸鱼茄子煲不可用,7272373420,04月13日 22:59,iPhone客户端,,,,,,-,外交部发言人就日本政府决定以海洋排放方式处置福岛核电站事故核废水发表谈话 O网页链接 ​
绯瑟森林,5718481974,04月13日 22:59,荣耀30S 5G 美由芯生,,,,1,,#福岛核废水57天可废掉半个太平洋#,要让美国日本气死了长没长脑瓜子 ​
一秒亿光纪,3211512355,04月13日 22:59,iPhone客户端,,,,,,#日本核废水#,该死的小日本鬼子们，喝光这些核废水吧，喝光它们！！！你们造的孽，你们不喝光，还要祸害全人类！！！如果你们觉得这个任务实在太艰巨，实在难以完成，那就叫台湾地区的母苍蝇那伙“台独”狗和你们一起喝！！！我们都很心急，想看看你们喝了之后，会变成什么？？？二十多年前，我就认定小日本鬼子肯定早就已经搞出核武了！！！后来，那次核事故之后，那些核废水根本就是小日本鬼子搞核武的铁证，再加上小日本鬼子对那次核事故很多方面鬼鬼祟祟、遮遮掩掩的行径，让我更坚定了这一观点！！！当年，那次核事故之后，我就立即发出了“小日本鬼子早就已经搞出核武器”这一预警！！！我认定小日本鬼子搞核武，美国一直完全知情，而且一直为其提供技术和原料！！！美国丝毫不惧怕小日本鬼子有核武，因为只要小日本鬼子的导弹射程够不到美国，小日本鬼子就丝毫威胁不了美国！！！美国肯定不允许小日本鬼子发展射程够得到美国的导弹！！！小日本鬼子肯定不敢发展射程够得到美国的导弹，连想都不敢想，否则，美国肯定会在五分钟之内抹平日本！！！美国支持小日本鬼子搞核武，很明显首先是针对中国，其次是针对俄罗斯！！！别看小日本鬼子现在“心甘情愿”当美国的狗，其实，它们看着美国，口水哗哗直流，因为美国是它们眼中未来的肉！！！小日本鬼子现在当然不敢对美国下口，但是，如果机会到了，小日本鬼子肯定会扑到美国身上疯狂撕咬吞食！！！当年，在珍珠港，小日本鬼子不就撕咬过美国一次吗？？？！！！ 收起全文d
泸州江月,1950827991,04月13日 22:59,微博搜索,,,,2,,#福岛核废水57天可废掉半个太平洋#, 小日本：这次不全球买单，大家谁也别想好好过.... ​
市井小民苏半斤,2322352843,04月13日 22:59,荣耀V10 我AI的快,,,,,,#福岛核废水57天可废掉半个太平洋#,用队友的话说，两个字，缺德。 ​
Jolie小坚果,2362823565,04月13日 16:33,微博视频号,,,,1,,#赵立坚说日本不能将福岛核废水一倒了之#】今天的外交部例行记者会上，赵立坚答记者问时表示：“福岛第一核电站发生了最高等级的核事故，其产生的废水同正常运行的核电站废水完全是两回事，否则这些年日方也没必要用罐子把这些水严密封装起来。”同时，#赵立坚向日媒列举各方对核废水入海意见#,【并强调：对于这些权威机构和专家的意见，日方应予以诚实回应，而不能充耳不闻，更不能罔顾国际公共利益，将福岛核废水往海里一倒了之。（总台央视记者申杨 张熙）L央视新闻的微博视频 收起全文d
江风blog,1764906087,2011年03月14日 15:02,HUAWEI P30,,,,,,-,根据博主设置，此内容无法访问 ​
烟雨楼百年孤独,1356658417,04月13日 22:59,微博视频号,,2,,,,#福岛核废水57天可废掉半个太平洋#,【研究机构计算结果显示：】日本核废水入海危害有多大？一家来自德国的研究机构计算结果显示，从排放日起，57天内放射性物质就将扩散至太平洋大半区域，3年后美国和加拿大就将遭核污染影响。同时，核废水对海洋环境、渔业资源、食品安全和人类健康将产生重大影响。L环球资讯的微博视频 O日本决定将福岛核废水排放入海 研究显示：57天将污染半个太平洋 收起全文d
小狼小叔,6471178810,04月13日 21:25,魅族拍照旗舰 PRO 6s,,,7,1,,-,我倒是要看看以后精日分子怎么洗 ​
