user_id,created_at,screen_name,text,location
18924321.0,14/4/2021 8:22,thoton9,"South Korea may resort to international maritime court to prevent Japan from releasing #Fukushima water
https://t.co/G0j4ZB6i50","Tokyo, Japan"
18924321.0,17/4/2021 10:02,thoton9,"To the people in the East Asia and Oceanian countries:
Japanese opposition party Reiwa Shinsengumi says no to the ocean release of #Fukushima wastewater. We will do our best to overturn this irresponsible decision made by our shameful government. https://t.co/EVXYd657RJ","Tokyo, Japan"
18924321.0,16/4/2021 21:42,thoton9,"Is #Fukushima water really safe enough to drink? Amid international concerns over Japan’s decision to drain radioactive water into the Pacific Ocean, pro-nuke Japanese lawmakers take to social media to downplay the danger of the ocean dumping of “treated” Fukushima wastewater. https://t.co/kHoIqNn8Jb","Tokyo, Japan"
18924321.0,11/4/2021 14:46,thoton9,"#Fukushima fishers further worried by government decision to release contaminated water into sea
https://t.co/qmDVR7UTq4","Tokyo, Japan"
18924321.0,18/4/2021 8:20,thoton9,"Japanese opposition leader @yamamototaro0 on ocean dumping of #Fukushima water: “reckless and intolerable”
https://t.co/gJ3AiI6NlW","Tokyo, Japan"
18924321.0,13/4/2021 9:13,thoton9,"Japan's finance minister Taro Aso says #Fukushima wastewater ""safe enough to drink""
https://t.co/WbIzIcA4TC","Tokyo, Japan"
18924321.0,13/4/2021 5:13,thoton9,"Japan officially decides ocean dumping of radioactive #Fukushima water despite strong opposition from local fishermen, neighboring countries
https://t.co/nQkDqULjl4","Tokyo, Japan"
18924321.0,11/4/2021 9:06,thoton9,"#Fukushima residents chant against government's decision to release more than one million tons of ""treated"" water from the crippled nuke plant into the Pacific Ocean. Their sign reads: ""Don't Drain Radioactive Contaminated Water into sea!"" https://t.co/PBuZAe7wA0","Tokyo, Japan"
18924321.0,16/4/2021 15:13,thoton9,"Amid mounting criticism of Japan from its neighbors over the decision to discharge radioactive water from #Fukushima plant into the sea, English-speaking pro-nuke Japanese lawmakers take to Twitter and YouTube to downplay the danger of the ocean dumping. 
https://t.co/Zqwwh0cwh9","Tokyo, Japan"
18924321.0,17/4/2021 8:34,thoton9,"To our East Asian neighbors and the Oceanian countries:
Japanese opposition party Reiwa Shinsengumi says no to the ocean release of #Fukushima wastewater. https://t.co/EVXYd657RJ","Tokyo, Japan"
18924321.0,10/4/2021 13:28,thoton9,"Japan's opposition leader @edanoyukio0531 blasts government's decision to dump #Fukushima wastewater into sea
https://t.co/Fv05avdBwZ","Tokyo, Japan"
18924321.0,14/4/2021 11:19,thoton9,"A Japanese minister claims “#Fukushima wastewater is safe enough to drink.” China asks him to actually drink it.
https://t.co/rDbeo2OCrQ","Tokyo, Japan"
18924321.0,13/4/2021 17:26,thoton9,"Hundreds of protestors rally in front of Prime Minister’s Office against ocean dumping of radioactive #Fukushima water
https://t.co/BWGGxgasBJ","Tokyo, Japan"
18924321.0,13/4/2021 1:00,thoton9,#Fukushima wastewater to be released into sea in two years. https://t.co/BVfaicUfbV,"Tokyo, Japan"
18924321.0,13/4/2021 9:08,thoton9,"Osaka governor @hiroyoshimura  says he is willing to allow #Fukushima wastewater to be drained into Osaka Bay as it's safe enough.
https://t.co/JeaBiji4uj","Tokyo, Japan"
